Integral Diff, TRANSITION,GATE, m, q, mean, sigma, amplitude
0 , 1214.74 , 4457.9 , 3.757368649845353 , -4162.396786621559 , 1214.7524742711105 , 1.1031066063780846 , 2362.3172586897526
0 , 1373.3 , 4457.9 , 3.4863999406801938 , -4449.820490452547 , 1372.237631612141 , 1.039443425228665 , 432.6261032571637
0 , 1442.7 , 4457.9 , -6.092008479682678 , 9085.270861185008 , 1442.7635115856722 , 1.1778948147222992 , 3898.5344726398716
-11 , 1542.95 , 4457.9 , -17.49238677141593 , 26928.383605544488 , 1541.7792252589838 , 2.7773007190063037 , 1885.3671893835306
0 , 2088.2 , 4457.9 , -3.563363129058352 , 7676.871477117928 , 2088.4024363286894 , 1.328151347438243 , 5929.999495922612
-14 , 2273.95 , 4457.9 , 99.92174376062621 , -228446.85319462122 , 2269.884002865555 , 6.268245279585551 , 2314.502835060577
-4 , 2313.6 , 4457.9 , 9.150152618801897 , -21147.470604156097 , 2311.7607268764514 , 3.142899194774945 , 492.30024940699747
0 , 2477.0 , 4457.9 , -9.234020797488862 , 23070.67094453744 , 2477.3024693765387 , 1.5307343830851223 , 497.56682619181515
0 , 2662.0 , 4457.9 , -21.679451568232636 , 57933.75383267869 , 2662.190204905248 , 0.6716062153068929 , 70.48099580297796
0 , 2746.5 , 4457.9 , 7.512187404810283 , -20414.217741370143 , 2746.538010324292 , 1.5020316675316612 , 2064.377612073651
-11 , 2758.5 , 4457.9 , 41.01624473198474 , -113183.80499255982 , 2755.606874355207 , 2.7373198532023286 , 1267.0674643113737
0 , 2896.7 , 4457.9 , 0.34876850427097184 , -919.6778386865274 , 2896.3645238368567 , 1.5073266392045241 , 269.1936857330878
0 , 2957.6 , 4457.9 , 24.10750041536014 , -70935.81087764974 , 2957.5422579035376 , 1.3904465737603204 , 534.0627385800691
0 , 2995.4 , 4457.9 , 7.51776600569279 , -22392.937036279942 , 2995.326847792829 , 1.9047207750753172 , 105.3249425521113
0 , 3315.2 , 4457.9 , -5.192513007959373 , 17308.998383607755 , 3315.396839061002 , 1.8506840265732463 , 379.84492473003775
0 , 3367.0 , 4457.9 , 1.1002719988870484 , -3534.89515669404 , 3366.914946786037 , 1.8818241948320646 , 865.7011362871093
-1 , 3628.9 , 4457.9 , -43.39609190386848 , 157668.84861089333 , 3628.369510773979 , 1.8416387422459124 , 1849.2287347740782
0 , 4016.21 , 4457.9 , -0.28998162551137235 , 1192.9562095963488 , 4016.338735420059 , 1.8833894833679599 , 204.20873088211488
-3 , 4389.93 , 4457.9 , -37.94290534690852 , 166682.39049682184 , 4389.485781327352 , 2.4205373611282472 , 797.8852431019003
