START LEVEL,STOP LEVEL,Integral Diff,Integral,TRANSITION,GATE,mean,sigma,amplitude,m,q,err_mean,err_sigma,err_amplitude,err_m,err_q
3913.8,3357.29,2.0000,420.4961,556.8000,1016.9000,556.1710,0.5059,331.5978,4.4303,-1603.6447,0.3026,0.4235,246.3592,2.5839,1436.5278
3913.8,3044.292,0.0000,7175.0905,869.4700,1374.8000,869.3210,1.1157,2565.6279,-6.9777,6384.4695,0.0436,0.0510,90.6612,7.0113,6062.4592
3913.8,2283.119,-1.0000,3583.6560,1630.4000,1428.0000,1630.6822,2.7152,536.2923,4.8527,-7578.8502,0.2571,0.4215,65.4386,4.6569,7655.3809
3913.8,2283.119,0.0000,1217.4470,1630.4000,1658.8000,1630.2022,1.7222,282.3747,0.7432,-1113.2815,0.2228,0.2962,35.4075,1.9053,3127.7204
3913.8,3307.872,0.0000,405.5236,605.8000,2178.6000,605.1689,2.2262,72.6702,1.5940,-762.5188,1.1035,1.2628,31.5786,1.9632,1187.3931
3913.8,3711.96,-11.0000,2660.3862,202.1000,2758.5000,201.9527,1.5264,764.0263,-114.1439,22788.1734,0.3691,0.6473,365.0391,60.8132,11914.0314
3913.8,2283.119,0.0000,155.3451,1630.4000,3066.9000,1630.1612,-0.9824,63.0818,-0.2256,372.8947,0.4741,0.4919,26.6921,0.5212,848.5944
3913.8,3357.29,0.0000,628.5177,556.8000,3066.9000,553.5667,2.3517,106.6900,-0.3082,206.1496,0.8378,1.0493,34.3178,2.5062,1403.2905
3913.8,2283.119,0.0000,10982.1315,1630.4000,651.0700,1630.4356,1.2346,3548.8530,3.4360,-4448.2982,0.0814,0.0869,206.8908,5.4753,8889.2009
3913.8,3711.96,0.0000,12675.8641,202.1000,651.0700,202.0746,-0.7865,6429.9849,-280.7759,68112.2761,0.0602,0.0857,449.4514,85.2749,17099.2232
3913.8,3285.004,0.0000,1098.8153,628.7100,7215.8000,628.6430,0.9616,455.8918,-0.0494,79.6857,0.0274,0.0294,11.5253,0.3303,204.7739
3913.8,3044.292,0.0000,999.3821,869.4700,7215.8000,869.1856,0.9805,406.6101,1.0259,-836.9589,0.0362,0.0399,13.4163,0.4172,358.8455
3922.71,3285.004,0.0000,2825.7147,637.6800,1419.3000,637.6642,0.9180,1227.9958,-1.4213,1273.5687,0.0971,0.1043,114.7872,5.7699,3705.7814
3922.71,3044.292,0.0000,3219.7501,878.2500,1419.3000,878.1140,1.2591,1020.2043,1.7385,-1202.5399,0.0960,0.1138,71.2365,3.4958,3099.3810
4196.1,2283.119,1.0000,606.8343,1912.1800,1101.3000,1912.2354,0.4756,509.0155,-0.7088,1387.5354,0.1934,0.1938,177.3232,6.3563,12156.4921
4196.1,3676.092,-3.0000,1366.0654,519.7000,1353.1000,518.2989,1.3037,426.4028,-13.6965,7496.6520,0.1740,0.2502,68.4102,16.1818,8322.2444
4196.1,3301.36,0.0000,1512.2296,894.2000,1353.1000,894.1670,1.3392,450.5152,2.3891,-2002.0996,0.2031,0.2453,62.8852,3.4539,3116.2417
4196.1,2283.119,0.0000,290.8713,1912.1800,1397.4000,1912.3615,1.1863,100.1469,1.3064,-2487.3373,0.5646,0.9586,68.9824,14.3527,27518.4098
4196.1,3676.092,-3.0000,384.9268,519.7000,1397.4000,519.6343,0.4977,308.5277,5.0217,-2562.9793,0.4797,0.3274,134.8064,13.6623,7118.2692
4196.1,0.0,0.0000,47.2628,4196.1000,1579.6000,4196.0862,0.9199,20.5054,-0.2967,1249.9028,0.3917,0.4969,7.7110,1.5729,6602.0246
4196.1,3676.092,0.0000,626.0811,519.7000,1579.6000,519.3311,0.8325,300.0329,1.1503,-295.1602,0.1968,0.2169,61.2648,11.4811,5967.2632
4196.1,3676.092,0.0000,447.9000,519.7000,2477.0000,519.4854,0.6748,264.7956,2.2853,-1166.9661,0.3911,0.3154,114.2000,16.8917,8760.5859
4196.1,3301.36,0.0000,392.5081,894.2000,2477.0000,893.8075,-0.7583,206.9109,-12.7810,11526.2016,inf,inf,inf,inf,inf
4196.1,3711.96,0.0000,546.6713,483.4000,6935.2000,484.0431,0.9465,230.6187,-16.3674,8225.4641,0.1821,0.2363,39.3428,8.4775,4087.6252
4196.1,3676.092,0.0000,269.2253,519.7000,6935.2000,519.8498,0.5871,182.9378,-6.3837,3464.6384,0.1186,0.1912,41.8689,1.6541,867.0218
4196.1,3676.092,0.0000,473.8567,519.7000,900.8000,518.6482,0.9632,197.7182,-28.9895,15383.9931,0.3538,0.4881,72.6960,21.0668,10867.9952
4315.22,3307.872,0.0000,1122.3071,1007.7000,1418.1000,1007.9755,1.0386,431.9954,-36.6843,37298.1764,0.2298,0.3082,88.2748,18.0681,18267.7534
4358.44,3676.092,0.0000,1148.5032,682.3400,1142.9000,680.7456,0.9341,490.5430,-9.1884,6267.9784,0.1979,0.2294,90.8693,14.7339,10040.2178
4358.44,3711.96,0.0000,612.5253,646.5000,1416.7000,646.3057,1.0706,228.3065,-6.9828,4692.3633,0.3258,0.3992,62.5132,8.7029,5598.6393
4358.44,3711.96,0.0000,847.4517,646.5000,2313.6000,646.5048,1.1951,282.8901,-1.2390,781.9423,0.7367,0.7897,153.9707,6.6285,4266.5467
4399.2,3307.872,0.0000,896.3372,1091.1000,1335.0000,1091.6500,1.7336,206.2716,-1.6168,1801.8510,0.4540,0.5196,47.6812,3.4281,3733.6980
4399.2,3711.96,0.0000,274.7638,686.9000,1335.0000,687.1768,0.5638,194.4340,2.5136,-1691.1954,0.5404,0.8063,182.3358,12.1728,8323.2132
4409.176,3301.36,0.0000,230.1041,1107.9800,1183.5000,1108.3625,0.6890,133.2400,-2.7553,3592.6665,0.4035,0.3586,60.8138,1.9817,2180.3563
4409.176,3676.092,7.0000,224.6382,733.0000,1183.5000,733.1304,-0.4321,207.3966,9.9849,-5916.5895,1.4779,2.4465,1446.4549,6.6346,4871.2275
4409.176,3661.527,1.0000,673.3075,747.6300,1183.5000,747.9251,0.5786,464.2030,1.6546,211.3341,0.1357,0.3198,199.3358,1.9291,1427.4405
4409.176,3661.527,0.0000,970.3304,747.6300,1324.0000,748.0330,0.8879,435.9569,1.5452,-1029.9507,0.1044,0.1142,45.8965,1.6494,1232.7282
4409.176,3661.527,0.0000,308.8512,747.6300,6721.0000,747.4041,0.9609,128.2245,3.5819,-2663.2354,0.2474,0.2750,29.3572,2.4688,1837.5172
4479.9,3776.27,0.0000,186.3476,703.4000,6651.3000,704.0181,0.7590,98.3897,-12.0573,8526.7790,inf,inf,inf,inf,inf
4584.08,3307.872,0.0000,639.2634,1276.0000,1191.2000,1276.5731,0.9043,282.0321,0.5825,-606.1103,0.1579,0.1757,44.4373,1.6410,2077.3322
4584.08,3307.872,-1.0000,1477.0000,1276.0000,2088.2000,1276.5988,1.2799,462.2029,1.2426,-1350.9480,0.1171,0.1499,41.1318,2.0149,2548.4891
4584.08,3307.872,0.0000,310.4911,1276.0000,645.7000,1276.5933,0.6688,185.2135,2.0543,-2518.3315,0.2290,0.1990,47.0722,10.9346,13970.2713
4584.08,3357.29,0.0000,296.4461,1226.9000,704.5000,1227.1620,0.6450,183.3663,-1.1223,1416.9159,0.0297,0.0437,8.3395,1.1541,1416.9730
4650.3,3661.527,0.0000,485.8390,989.0000,6480.2000,988.9108,1.0723,180.7525,-4.1872,4393.6500,0.1516,0.1598,22.4680,0.8374,828.2843
4650.3,3301.36,0.0000,918.9524,1349.4000,898.0000,1349.0018,1.4714,249.1649,-0.8051,1272.3007,0.2502,0.2642,37.2356,1.1317,1526.7347
4650.3,3776.27,0.0000,1826.4716,874.3000,898.0000,874.8137,0.6697,1088.0440,75.5207,-65131.6657,0.1369,0.1774,203.8516,25.3593,22196.4569
4650.3,3661.527,0.0000,1164.4776,989.0000,898.0000,987.5298,1.4168,328.1538,13.0669,-12564.5858,0.3810,0.4830,80.0277,9.9548,9791.1408
4803.6,3661.527,0.0000,578.4560,1141.1000,6328.3000,1141.2486,1.1016,209.4931,-0.2108,300.3086,0.0904,0.0961,15.1323,0.6649,757.6607
4803.6,3661.527,0.0000,342.4250,1141.1000,972.6000,1140.9488,0.9146,149.3644,-2.1838,2649.2318,0.2354,0.2553,34.2341,1.3535,1542.6013
4803.6,3307.872,1000000000.0000,0.0000,1494.6000,972.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4803.6,2656.509,-2.0000,967.7594,2145.5200,972.6000,2144.0156,1.9908,207.8397,-2.4944,5408.9997,0.3070,0.4549,39.2450,2.6316,5610.2274
4884.02,3661.527,0.0000,978.0353,1222.5000,1050.9000,1222.9345,1.3806,282.6675,0.0202,221.7314,0.1918,0.2358,36.5448,1.7371,2142.0395
4884.02,3301.36,0.0000,143.4780,1582.8000,6247.2000,1582.2754,1.0175,56.2901,0.0233,-39.8916,0.1984,0.2392,10.2029,0.4483,714.0674
4930.74,3913.8,0.0000,3912.8319,1016.9000,1064.1000,1016.8741,1.0141,1539.3448,-0.1624,280.0974,0.0564,0.0600,75.6199,1.9981,2044.5834
4930.74,3913.8,0.0000,764.6281,1016.9000,6199.9000,1016.8698,1.0010,304.7267,-1.1442,1186.8425,0.0777,0.0827,20.9042,0.5483,561.0885
4930.74,3711.96,0.0000,229.9616,1218.8000,6199.9000,1218.6307,1.2310,74.5251,-1.3141,1620.6901,0.2572,0.2836,13.7792,0.9101,1111.2020
5096.87,3922.71,0.0000,121.2559,1173.9000,1753.1000,1174.4152,0.5923,81.6661,-0.5365,675.0834,0.7284,0.5101,61.4719,3.5289,4135.7434
5096.87,3307.872,0.0000,1306.3432,1788.5000,476.8000,1788.4969,1.6379,319.1468,-1.0097,2170.5480,0.3058,0.4373,59.7584,6.2065,11145.5112
5096.87,4564.87,0.0000,928.2555,532.1000,476.8000,532.9532,0.9214,401.9200,-37.9682,22089.1328,0.4823,0.5535,186.8764,21.0036,11196.2594
5096.87,4399.2,0.0000,301.4844,697.6000,476.8000,696.6126,0.6009,200.1707,-7.8160,6760.7182,0.7470,0.5600,162.1070,14.3010,9940.3200
5096.87,3307.872,-5.0000,6611.1182,1788.5000,6034.4000,1788.4036,1.3171,2012.3283,-6.1243,11115.6848,0.0531,0.0678,79.1924,3.6906,6645.8833
5096.87,4564.87,0.0000,3137.3614,532.1000,6034.4000,532.1404,1.0747,1164.6190,3.1868,-935.2247,0.0481,0.0502,45.7364,0.9927,533.0243
5096.87,3922.71,0.0000,736.5937,1173.9000,678.6000,1174.0825,0.9804,299.7330,5.5662,-6546.2008,0.1486,0.1732,40.0443,5.5758,6552.0848
5230.33,3307.872,0.0000,246.1651,1922.4000,545.3000,1922.0492,0.9718,101.0541,-0.5254,1010.4580,0.2823,0.3318,25.9325,3.6365,6984.9082
