Integral Diff, TRANSITION,GATE, m, q, mean, sigma, amplitude
0 , 1524.4 , 1373.3 , -2.1431250069828147 , -23902.212683514415 , 1526.6748848474028 , 167.51995987909604 , 27266.013408675768
0 , 1588.7 , 1373.3 , 1.8236227760276706 , -2813.4123038523726 , 1588.630495220495 , 1.137921233627504 , 461.37215346169063
0 , 1624.5 , 1373.3 , 9.407449461563816 , -15189.569768253916 , 1624.3888767710987 , 1.3345317478251606 , 283.68342757665226
-277 , 4143.8 , 1373.3 , 0 , 0 , 0 , 0 , 0
-3 , 1524.4 , 1549 , 340.7939120530725 , -526767.4513520697 , 1508.380482839259 , 18.20394827093782 , 10793.014057609173
0 , 1588.7 , 1549 , -0.2665906163466255 , 459.00371508618787 , 1588.1871632247598 , 0.6015690755532741 , 174.2212557109684
0 , 1624.5 , 1549 , 6.4132327210977325 , -10404.106815083273 , 1624.4038313355184 , 0.5880486979657709 , 183.28380680465895
0 , 4143.8 , 1549 , -1.5677894733043685 , 6498.168452246859 , 4144.405634159662 , -0.8256383095478131 , 25.007775827158326
0 , 1524.4 , 5829.4 , -31.603912200157446 , 48392.195865107984 , 1524.41612946197 , 0.893292200885282 , 278.77099000539823
0 , 1588.7 , 5829.4 , -7.851116186955185 , 12630.634036676805 , 1588.77392165959 , 1.1908803977217937 , 6183.257365032259
0 , 1624.5 , 5829.4 , -33.22016910193508 , 54242.570479489965 , 1624.469795371637 , 1.1753520827527415 , 3760.8485662097373
-2 , 4143.8 , 5829.4 , 3.146655154416277 , -13223.308140535113 , 4141.189538109497 , 5.954925387739095 , 351.005215100864
