Integral Diff,Integral,TRANSITION,GATE,m,q,mean,sigma,amplitude
0 , 1600.5825995885518 , 1727.5 , 1330.9 , 4.96123876452332 , -8500.616685588659 , 1727.6809409422367 , 1.5615115357641445 , 409.06284450401665
0 , 6484.9645038654035 , 966.6 , 1330.9 , 1.0225500615603966 , -766.1139810966729 , 966.5631933685271 , 1.138031355785542 , 2273.3370412685226
-9 , 34061.703269903504 , 299.5 , 1330.9 , 1369.0799340748179 , -411794.5666825464 , 298.60811294122675 , 1.9703180735100887 , 6916.049751419167
0 , 1652.2734501464317 , 1727.5 , 1491.1 , 1.275361688898599 , -2166.4392812171195 , 1727.5538064339128 , 1.2051938244934757 , 546.9359291470798
0 , 6904.738823591455 , 966.6 , 1491.1 , -17.02036135762131 , 16674.3241656303 , 966.5731730664526 , 0.9872042894247007 , 2790.296126710302
1945 , 0 , 299.5 , 1491.1 , 0 , 0 , 0 , 0 , 0
0 , 473.26437330469844 , 1727.5 , 1878.7 , 1.2281935318471662 , -2101.3532888753107 , 1726.663687068727 , 1.3753014801146815 , 137.28565117296336
0 , 2160.130888975103 , 966.6 , 1878.7 , -3.0843968207713783 , 3028.4422081301104 , 966.4598810274946 , 1.109631211819051 , 776.6254162842803
0 , 921.7166654037176 , 299.5 , 1878.7 , -30.667042536466866 , 9059.222893442524 , 298.6650303992205 , 1.6683782728510854 , 220.49236031532266
0 , 2106.107305013613 , 1727.5 , 1983.3 , 0.5895044957474728 , -933.7619492927589 , 1727.59870224943 , 1.2008949859994522 , 699.6599725442612
0 , 9012.010013814555 , 966.6 , 1983.3 , -4.479240730168397 , 4754.968465248221 , 966.5388158732203 , 1.1055809687291034 , 3251.931193161858
0 , 1788.1775769138928 , 299.5 , 1983.3 , -29.661731692120895 , 9850.11621996915 , 299.41632241238506 , 1.067460078629479 , 668.2963751395367
0 , 254.2432777128404 , 1727.5 , 2027.9 , -3.0228867379686775 , 5237.207501003947 , 1728.2809204700145 , 0.8548104157920174 , 118.65601170373648
0 , 1015.6014505273107 , 966.6 , 2027.9 , 9.125117651619014 , -8752.592342288268 , 966.7065145433595 , 0.9487929276436255 , 427.0334988209635
-4 , 839368.0084761075 , 299.5 , 2027.9 , -12.974157282426965 , -65764.59333816843 , 302.6017591176608 , 92.20728059670634 , 70050.0450639484
0 , 298.10466693236367 , 1727.5 , 2662 , 1.8199025947317076 , -3099.164721501755 , 1727.5731732624865 , 0.7405814682297713 , 160.58537882212204
0 , 1408.3837400843872 , 966.6 , 2662 , -14.933440759549097 , 14497.58838913144 , 966.9309858818848 , 1.0725676206597874 , 523.849921696966
6 , -6731.9852786239135 , 299.5 , 2662 , -9.407564733350528 , 3196.1989786116255 , 300.1895290418541 , 2.521009072202635 , -1098.67150005648
0 , 142.40025713386194 , 1727.5 , 2969.2 , 1.460128902539795 , -2498.0511497071625 , 1727.4740895874136 , -1.589842381349531 , 35.742713274164664
0 , 917.5674562399579 , 966.6 , 2969.2 , -4.7486946728213155 , 4632.816715450426 , 966.4330109191607 , 1.1867804119801686 , 308.44540287677864
-1217 , 0 , 299.5 , 2969.2 , 0 , 0 , 0 , 0 , 0
0 , 538.8340390315323 , 1727.5 , 7119.7 , 0.45140258025856195 , -762.0917949938369 , 1727.2901669928085 , 1.2263469293367153 , 175.2881285144363
0 , 2184.6226213971936 , 966.6 , 7119.7 , -2.790753221925629 , 2716.382344364454 , 966.607555809561 , 1.1021759382145022 , 790.7437776803835
0 , 798.0484152278906 , 299.5 , 7119.7 , -25.635532388219257 , 7823.302483869524 , 299.46606612530275 , 1.423739780878908 , 223.6309691346319
