Integral Diff, TRANSITION,GATE, m, q, mean, sigma, amplitude
0 , 1222.5 , 1050.9 , -6.937660667573582 , 8777.038845905252 , 1223.0633097463074 , 1.2137065572723282 , 267.41868119834214
0 , 1524.2 , 1050.9 , 4.972348244644099 , -7394.4282066254 , 1523.4311666397 , 1.6662377229914054 , 76.41542851369469
0 , 1575.9 , 1050.9 , 2.570016254077452 , -3819.3074718881685 , 1576.1848121869386 , 1.0658984888920482 , 417.0893868529093
-3339 , 1582.8 , 1050.9 , 0 , 0 , 0 , 0 , 0
112 , 1839.2 , 1050.9 , -4.292412937835531 , 8178.830969397345 , 1837.0397823061185 , -0.2561025109427495 , 336.6116855139904
4 , 3726.6 , 1050.9 , -895.9428339775308 , 3357965.9183322378 , 3707.942043769248 , -19.883113275838586 , -29664.21994081757
0 , 1222.5 , 6247.2 , -0.8870351047056843 , 1100.3928722867818 , 1222.2822678604907 , 1.1373151790611151 , 693.6124055518009
0 , 1524.2 , 6247.2 , -1.0184954595407585 , 1562.8126691844836 , 1523.9004348121089 , 0.6973620491228022 , 42.1623995497828
0 , 1575.9 , 6247.2 , -1.3354099356183087 , 2116.470553989986 , 1575.8321368001236 , 1.2269348525175419 , 167.00053971329808
1 , 1582.8 , 6247.2 , -19.531294595044177 , 30986.573909851137 , 1579.2295482048064 , 2.0049268897195582 , -132.83253065290987
0 , 1839.2 , 6247.2 , -0.08410932388121858 , 151.11231996456956 , 1839.4471376853382 , 0.7372176787412019 , 75.4200062640595
0 , 3726.6 , 6247.2 , -4.502919225512572 , 16800.790814709708 , 3724.8940518425193 , 1.645918473189996 , 81.50424389087502
