# EGG_ProjY_E2178.5(4.5)_B2160.0(2.0)_B2205.5(1.5)
# X axis : Energy (keV) [Y axis]
# Y axis : Counts/1 keV
# N Bins : 12000
# X Min : 0
# X Max : 12000
# X value at the center of the bins
0.5 0
1.5 0
2.5 0
3.5 0
4.5 0
5.5 1.57143
6.5 -10.8571
7.5 6.57143
8.5 -21.1429
9.5 0.428572
10.5 -19.2857
11.5 10.7143
12.5 -1.85714
13.5 31.8571
14.5 7.71429
15.5 5.42857
16.5 55.2857
17.5 7.57143
18.5 88.1429
19.5 50.5714
20.5 155.857
21.5 59.5714
22.5 157.571
23.5 97.8572
24.5 180.429
25.5 179
26.5 292
27.5 228
28.5 115
29.5 311.571
30.5 371.143
31.5 71.5715
32.5 482
33.5 359
34.5 419.857
35.5 245.286
36.5 334.571
37.5 509.143
38.5 508.714
39.5 585.429
40.5 578
41.5 607
42.5 862.714
43.5 846.857
44.5 551.143
45.5 621.571
46.5 488.143
47.5 631.429
48.5 676.429
49.5 448.286
50.5 612.714
51.5 493.571
52.5 405.429
53.5 436.143
54.5 498.857
55.5 509.143
56.5 416.429
57.5 497.571
58.5 502.857
59.5 582.571
60.5 365
61.5 242.714
62.5 175.571
63.5 101.143
64.5 401.429
65.5 397.571
66.5 386.143
67.5 647.286
68.5 338.429
69.5 597.857
70.5 485.286
71.5 541.429
72.5 674.714
73.5 450.571
74.5 688.714
75.5 1025
76.5 858.429
77.5 1039.43
78.5 641.286
79.5 760.857
80.5 731.571
81.5 395.571
82.5 346.714
83.5 517.571
84.5 358
85.5 521.857
86.5 583
87.5 838
88.5 568.286
89.5 327.857
90.5 631
91.5 280.429
92.5 285.143
93.5 447.429
94.5 455.143
95.5 602.143
96.5 390.714
97.5 511
98.5 608.857
99.5 572
100.5 552.286
101.5 508.714
102.5 476
103.5 417.143
104.5 552.143
105.5 780.714
106.5 539.571
107.5 626
108.5 522.143
109.5 563
110.5 396.286
111.5 548.143
112.5 516.286
113.5 709.857
114.5 552.286
115.5 581
116.5 611.571
117.5 717.143
118.5 936.286
119.5 420
120.5 569.857
121.5 497.143
122.5 683.714
123.5 630
124.5 867.429
125.5 679
126.5 464.857
127.5 664.429
128.5 585.571
129.5 597.286
130.5 449.857
131.5 584
132.5 591.429
133.5 448.286
134.5 463.857
135.5 586
136.5 481.286
137.5 319.572
138.5 267.286
139.5 451.572
140.5 481.572
141.5 588.429
142.5 604.286
143.5 619.429
144.5 453.143
145.5 811.571
146.5 615.572
147.5 675
148.5 503.143
149.5 660.714
150.5 823.572
151.5 557.143
152.5 788.714
153.5 545.857
154.5 702
155.5 753.572
156.5 819
157.5 912
158.5 683.286
159.5 896
160.5 686.714
161.5 598.857
162.5 748.143
163.5 778.143
164.5 814.286
165.5 701.429
166.5 707.572
167.5 722.143
168.5 633.143
169.5 747
170.5 704.429
171.5 601.143
172.5 718.286
173.5 1240.86
174.5 1611.86
175.5 1283.14
176.5 817.714
177.5 802.714
178.5 675.857
179.5 666.714
180.5 937
181.5 947.857
182.5 1046.29
183.5 677
184.5 669.857
185.5 717.572
186.5 767
187.5 788.286
188.5 795.857
189.5 706.572
190.5 583.572
191.5 937.429
192.5 879
193.5 720.714
194.5 832.286
195.5 758.429
196.5 862.857
197.5 944.572
198.5 1044.86
199.5 968
200.5 1171
201.5 997.714
202.5 747.857
203.5 884.286
