Integral Diff, TRANSITION,GATE, m, q, mean, sigma, amplitude
46 , 3775.3 , 1250.2 , 0 , 0 , 0 , 0 , 0
0 , 2619.16 , 1250.2 , -2.254039120373445 , 5908.854236753433 , 2619.455850640261 , 1.49683865054313 , 574.7692471785701
0 , 1119.7 , 1250.2 , -8.874022668158199 , 9951.62911441952 , 1120.224820195592 , 1.5400814774090488 , 169.67632937164694
0 , 475.2 , 1250.2 , 16.42437973658148 , -7948.36259053406 , 474.9668773437839 , 1.583928240139493 , 616.0739757920918
0 , 3775.3 , 1520.2 , 2.589587266895145 , -9755.885344340744 , 3775.551652378294 , -0.9324407766821821 , 47.20050733083785
0 , 2619.16 , 1520.2 , 1.7139594211789566 , -4413.020956774187 , 2619.227122473787 , 1.4791598265199488 , 1449.7306738880775
44 , 1119.7 , 1520.2 , 3304.8476240321693 , -3661516.744984347 , 1127.9467329048734 , -9.792268805305108 , -55333.75325029501
0 , 475.2 , 1520.2 , -21.329894383107103 , 10562.065927575557 , 474.78891059507777 , -0.6225373881796054 , 401.32219269600154
62 , 3775.3 , 1524.4 , 1.7590712560081485 , -6633.94217628556 , 3776.045417348965 , -0.2468302102514996 , 178.86190841620913
0 , 2619.16 , 1524.4 , 1.3157037028712137 , -3403.38109590391 , 2619.2556938656203 , 1.4314775739927479 , 957.2325814694491
11 , 1119.7 , 1524.4 , 687.5073501761643 , -763433.203940985 , 1126.0849279568233 , -7.529371752077375 , -8979.72397461023
-2268 , 475.2 , 1524.4 , 0 , 0 , 0 , 0 , 0
-58 , 3775.3 , 1597.7 , -3.7324195403137344 , 14098.373214335144 , 3772.0527084004234 , 0.24668226133740875 , -169.85028735678128
0 , 2619.16 , 1597.7 , 0.30873023312468206 , -762.405825199981 , 2619.953383089272 , 1.4736269531586008 , 172.85583519232569
-828 , 1119.7 , 1597.7 , 0 , 0 , 0 , 0 , 0
0 , 475.2 , 1597.7 , -22.70496204346445 , 10845.774241426141 , 476.0030247095904 , 2.0119467331304226 , 179.83108708562244
0 , 3775.3 , 1683 , -0.6818160373728185 , 2575.355156574394 , 1433.420761784695 , 417.8655946400189 , 2573.1276191519423
0 , 2619.16 , 1683 , -4.513364701560998 , 11847.22750280382 , 2619.3827794115614 , 1.5231284041699042 , 335.5024629414216
16 , 1119.7 , 1683 , 805.4239183959521 , -894028.709752853 , 1125.928209776618 , -7.602019109739257 , -10869.520918150425
-102 , 475.2 , 1683 , 0 , 0 , 0 , 0 , 0
0 , 3775.3 , 1771.9 , 29.640442605139246 , -111517.94367727824 , 3783.7441973457594 , 10.107734019411865 , -502.31047653750625
0 , 2619.16 , 1771.9 , -5.095377352962636 , 13394.27015740945 , 2619.5589828355396 , 1.0935065753238769 , 351.55268868786936
